"x"
"3110035E14Rik"
"Rpl7"
"Lmbrd1"
"Gm13363"
"Dst"
"Map4k4"
"Col3a1"
"Tmeff2"
"Sf3b1"
"Hspe1"
"Bzw1"
"Sumo1"
"Eef1b2"
"Idh1"
"Igfbp2"
"Aamp"
"Tmbim1"
"Resp18"
"Acsl3"
"Scg2"
"Serpine2"
"Dock10"
"Trip12"
"Ptma"
"Efhd1"
"Myeov2"
"Kif1a"
"Sept2"
"Neu4"
"Dbi"
"Tmem163"
"Cntn2"
"Nfasc"
"Prelp"
"Btg2"
"Gpr37l1"
"Shisa4"
"Csrp1"
"Cfh"
"Pla2g4a"
"Arpc5"
"Glul"
"Tnr"
"Gas5"
"Prdx6"
"Prrc2c"
"Atp1b1"
"Mpzl1"
"Mgst3"
"Adamts4"
"Pea15a"
"Atp1a2"
"Igsf8"
"Kcnj10"
"Hnrnpu"
"Sccpdh"
"H3f3a"
"Tmem63a"
"Degs1"
"Kctd3"
"Cenpf"
"Cnksr3"
"Map7"
"Rps12"
"Ctgf"
"Nkain2"
"Marcks"
"Fyn"
"Amd2"
"Serinc1"
"Fabp7"
"Psap"
"Unc5b"
"Tspan15"
"Reep3"
"Ado"
"Ank3"
"Phyhipl"
"Cisd1"
"Mif"
"S100b"
"Dip2a"
"Cstb"
"Gpx4"
"Ndufs7"
"Gamt"
"Uqcr11"
"Oaz1-ps"
"Eef2"
"Hsp90b1"
"Anks1b"
"Metap2"
"Ndufa12"
"Tmcc3"
"Ube2n"
"Nudt4"
"Dcn"
"Lum"
"Syt1"
"Atxn7l3b"
"Cpm"
"Mon2"
"Dctn2"
"Lrp1"
"Atp5b"
"Myl6"
"Rpl41"
"Bloc1s1"
"Selm"
"Gal3st1"
"Uqcr10"
"Emid1"
"Ppia"
"Sec61g"
"Mdh1"
"Ccdc88a"
"Rps27a"
"Rtn4"
"Sptbn1"
"Gnb2l1"
"Rnf130"
"Canx"
"Skp1a"
"Uqcrq"
"Sept8"
"Cdc42se2"
"Hint1"
"Atox1"
"Gjc2"
"Arf1"
"Usp22"
"Epn2"
"Ubb"
"Pmp22"
"Efnb3"
"Eif4a1"
"Gabarap"
"Rnasek"
"Psmb6"
"Wscd1"
"Txndc17"
"Aspa"
"Pafah1b1"
"Ywhae"
"Glod4"
"Cpd"
"Traf4"
"Vtn"
"Omg"
"Evi2a-evi2b"
"Evi2a"
"Myo1d"
"Tmem98"
"Ccl3"
"Vmp1"
"Cltc"
"Ypel2"
"Sept4"
"Tmem100"
"Nme2"
"Spag9"
"Luc7l3"
"Col1a1"
"Srcin1"
"Rpl23"
"Mien1"
"Top2a"
"Eif1"
"Acly"
"Cnp"
"Dnajc7"
"Dusp3"
"C1ql1"
"Mapt"
"Snord104"
"Ddx5"
"Cacng4"
"Arsg"
"Prkar1a"
"Rpl38"
"Ttyh2"
"Atp5h"
"Sumo2"
"Itgb4"
"H3f3b"
"Wbp2"
"Timp2"
"Aatk"
"Actg1"
"P4hb"
"Arhgdia"
"Pcyt2"
"Fasn"
"Rab10"
"Efr3b"
"Gm6682"
"1110057K04Rik"
"Rhob"
"Ddx1"
"Pdia6"
"Ywhaq"
"Sox11"
"Adi1"
"Sypl"
"Etv1"
"Sptssa"
"Cfl2"
"Rps29"
"Rpl36al"
