"coord.1","coord.2","coord.3","coord.4","coord.5"
-2.81400273239889,0.0257651205632097,1.04197253609131,0.20387954762825,-0.0689278232580109
-2.81399173924032,0.0257671545009465,1.04164298227351,0.203772947252311,-0.0690689553434477
-2.81398097110231,0.0257691468057164,1.04132017414066,0.203668528894948,-0.0692071985757316
-2.8139540721976,0.0257747858868098,1.04053211591739,0.203413772493233,-0.0695444407261924
-2.81392412950868,0.0257839594455105,1.03973133052016,0.203155586910234,-0.0698855052274419
-2.81390129107399,0.0257909564697829,1.03912054085346,0.202958658885904,-0.0701456481743111
-2.81387975793703,0.025797553589248,1.03854465998718,0.202772985998121,-0.0703909230271198
-2.81373719823377,0.0258422864400745,1.03476187431434,0.201553643969287,-0.0720016358513208
-2.81363147612122,0.0258788965002128,1.03205353690075,0.200681578265192,-0.0731534620781677
-2.81356759971878,0.0259010159876003,1.03041718243876,0.200154683573679,-0.0738493857013786
-2.81353410922402,0.02591396621875,1.02959550454358,0.199890479927094,-0.0741980812620517
-2.81338087462683,0.0259803471799187,1.02602682824335,0.198745052433471,-0.0757084092900503
-2.81336972342727,0.0259852530902649,1.0257691404964,0.198662366106929,-0.0758174222719287
-2.81333364324613,0.0260032218176863,1.02499064723932,0.198413207485739,-0.0761453923712027
-2.81327643348133,0.0260317135446483,1.0237562461155,0.198018134465892,-0.0766654311196937
-2.81310977522544,0.0261147130385084,1.02016030162841,0.19686724386776,-0.078180360452338
-2.81307542438134,0.0261322552524791,1.0194314505181,0.196634129147821,-0.0784872368050853
-2.81279643013054,0.0262855283446712,1.0137927797795,0.194834133471627,-0.0808525665902183
-2.81265913698356,0.0263685288457927,1.01121756313117,0.194014798744374,-0.0819273562683118
-2.81253938131859,0.0264409270712208,1.00897129819405,0.193300123778763,-0.0828648550105
-2.81200356198875,0.0267833756198553,0.999406500953791,0.190264135673667,-0.0868420826898737
-2.81195293255165,0.0268176401165212,0.998551968547425,0.189993656013041,-0.0871956787412603
-2.81190789937731,0.0268481576029477,0.997792902777494,0.189753411901584,-0.0875097326813899
-2.81172826254428,0.0269733648229298,0.994854289631778,0.188824831628016,-0.0887223932726505
-2.81153607611816,0.027107543187172,0.991716098703485,0.187833286041538,-0.0900171989272541
-2.81141109422367,0.0271995681724924,0.989796548485945,0.187228939551251,-0.0908046409130938
-2.81137574069337,0.027225810532023,0.989258931544114,0.187059780124758,-0.0910249683265299
-2.81118783743573,0.0273652881118481,0.986401508992915,0.186160701389702,-0.0921960038181857
-2.81105054863618,0.0274671953897704,0.984313774502312,0.185503802505721,-0.0930516039759659
-2.8106996588356,0.0277276552710123,0.97897783492495,0.183824866429732,-0.0952383910242448
-2.81045060922154,0.0279203789556947,0.975387967528651,0.182699045253142,-0.0967011513876634
-2.81018219963104,0.0281303832856125,0.971574314723964,0.181504208840395,-0.0982523981557111
-2.81011092072682,0.0281873978621651,0.970591478723135,0.181196915727599,-0.0986506782083569
-2.81002513306622,0.0282562992419087,0.969416766435831,0.180829802099316,-0.0991265140035618
-2.80950727418638,0.0286737671016914,0.962361545262109,0.178625731005315,-0.101982190119872
-2.80902514139396,0.0290741591962908,0.956063648688855,0.176664470555631,-0.104515706460483
-2.80901862599297,0.0290796192900569,0.955979673748446,0.176638347113358,-0.104549421309969
-2.80874732662483,0.0293069759778167,0.952482982093675,0.175550574711909,-0.105953297660056
-2.8087396219366,0.0293134327285563,0.952383678806622,0.175519682833043,-0.105993166641924
-2.80856419079444,0.0294618249096172,0.950160008166016,0.174828823370195,-0.106884721652728
