"cell_majortype","cell_subtype","coord.1","coord.2","coord.3","coord.4","coord.5"
"OPC","OPC",-0.301906523747911,0.415656251015682,0.150072463256021,-0.432603326369047,0.0849340871991285
"PPR","PPR",-0.0786101186756737,0.150929380043932,0.315580406529796,-0.91807883140022,0.00570041227638898
"PPR","PPR",-0.108054749870307,0.169513346208409,0.43174404394683,-1.0716366615155,0.0070346098354771
"OPC","OPC",-0.275112459889228,0.372908343682889,0.181544928613285,-0.385847360141977,0.13332513635591
"PPR","PPR",-0.144795313156157,0.180735694369553,0.333759369951478,-0.881049956166385,-0.0203407138866376
"PPR","PPR",-0.08297388948166,0.128700445656128,0.279449741571746,-0.942000207410651,-0.0332314337372808
"OPC","OPC",-0.289171469595122,0.362274128695583,0.0866906456930864,-0.395589269969412,-0.0283510540822145
"OPC","OPC",-0.187799961875101,0.287684150973239,0.30990910931755,-0.50359865869323,0.0689206482892063
"OPC","OPC",-0.366385481022303,0.541966422074625,0.174061490103661,-0.184792627599803,-0.0488900788253109
"OPC","OPC",-0.467717519337979,0.762269588716642,-0.0667343261779786,-0.300374768886985,0.0705340581122897
"MFO","MFOL2",-3.50073268565389,-0.586718504891096,0.458104389402619,0.478024024747984,0.103462570553787
"OPC","OPC",-0.585186144147756,0.960006766656145,0.0547583933267513,-0.0687884021091659,-0.0127081699437219
"OPC","OPC",-0.321340866978311,0.510500478954154,0.152121307891574,-0.551957658431568,0.167507082242249
"OPC","OPC",-0.604251819150721,1.10369182434613,-0.0202451986288009,0.00979843480469839,0.0797627792166058
"OPC","OPC",-0.371978343321269,0.472484362936227,0.0835301163026193,-0.312903731018692,0.0407101462257709
"OPC","OPC",-0.284266897619209,0.52683715604541,0.168557355669309,-0.304790294504087,0.074755760649921
"OPC","OPC",-0.341179423533744,0.434744266181958,-0.0291224962995111,-0.264214313084878,-0.0683179607566235
"OPC","OPC",-0.362245204552601,0.497784982827787,0.163948100910091,-0.429069809304944,0.119904274417367
"OPC","OPC",-0.319626453189482,0.487532902077487,0.0423960462533527,-0.317466163409794,0.0765706396535015
"OPC","OPC",-0.295488582989409,0.382090444612633,0.192369011334483,-0.586273732736858,0.144962468268832
"OPC","OPC",-0.572759758405975,1.18068821370876,-0.239271611690948,-0.0703647024518394,0.156711142184557
"OPC","OPC",-0.272077907359291,0.297945849626056,0.295311928809871,-0.592203192659326,-0.0426726924231159
"OPC","OPC",-0.411656878639177,0.810174428462668,-0.0804526586173318,-0.0734106625437956,0.192651189688288
"OPC","OPC",-0.200885152575327,0.359462076448608,0.203726766620826,-0.372544996555397,0.00453362001097341
"PPR","PPR",-0.0764958079829156,0.0862964496964846,0.194514759794933,-0.879111740788921,-0.0135991126508291
"OPC","OPC",-0.271760927785995,0.432038842686456,0.0233952534627528,-0.478054644981305,0.123066658878789
"PPR","PPR",-0.102710306661702,0.166071934613046,0.35879609618526,-1.22038751526019,0.00787256742227883
"OPC","OPC",-0.309352527169031,0.572144767436321,0.220231113263645,-0.270580429122587,-0.0489292546207225
"OPC","OPC",-0.314042742550951,0.484341848029213,0.315737320503677,-0.46588158294141,-0.113549521169094
"OPC","OPC",-0.569229439782799,0.985000467944363,-0.148234843109585,-0.253284435950921,0.0583051100266479
"OPC","OPC",-0.475793907665849,0.678355413335511,0.18131257419698,-0.435602691557755,-0.00701981187002191
"OPC","OPC",-0.28392258398496,0.432588679739589,0.342170228615402,-0.783368968914324,0.0475986206074229
"OPC","OPC",-0.384034182038686,0.449906824778595,0.056999408000815,-0.346522578247279,0.0304724814090386
"OPC","OPC",-0.442619359283937,0.792048717985152,0.297695428511697,-0.477115276709832,0.0511315681268647
"OPC","OPC",-0.716401145028696,1.233125576154,-0.183835069040247,0.0663354869217037,0.0697431239051145
"OPC","OPC",-0.338063042864823,0.534333487633983,0.0331773974427463,-0.519491897190036,0.0801343680367495
"OPC","OPC",-0.259992814372763,0.408311807876764,0.271328331519336,-0.506399915180826,0.0307578990219364
"OPC","OPC",-0.26496894465024,0.430906457597881,0.171558139577098,-0.674470191952737,0.0979050881538696
"OPC","OPC",-0.464578509476488,1.04383779172377,0.0226662477484941,-0.176082533890336,0.228734710210605
"OPC","OPC",-0.250495206822597,0.46300366219265,0.243047890846547,-0.647422779451495,0.126952917766708
"OPC","OPC",-0.445905777902225,0.798360087735438,0.0336137693067222,-0.252378683015206,-0.018499924465786
"OPC","OPC",-0.288915678107973,0.400576229504584,0.0332201315338505,-0.546768424925989,-0.0408914117205651
"OPC","OPC",-0.504274015844495,0.956412011460101,0.267291167528237,-0.418572774374558,0.0468180772835697
"OPC","OPC",-0.34189178314559,0.737595744852027,-0.0220072875677502,-0.21752533683636,0.210997549672129
"OPC","OPC",-0.27242851315534,0.355040279593978,0.329109465704995,-0.661734698585636,-0.0132711251236933
"PPR","PPR",-0.0896410220214575,0.157681944823212,0.330711375267866,-1.11152305747937,-0.0293338932405622
"OPC","OPC",-0.29528139998272,0.652264109685606,0.431685724004905,-0.480738838782539,-0.108016811383178
"OPC","OPC",-0.537307088183537,1.01623121068507,0.0848929845443098,-0.340527271775937,0.0838576367596327
"OPC","OPC",-0.403705894429222,0.43884585671549,0.173337266016011,-0.488465416386083,0.00757060155773004
"OPC","OPC",-0.307364954554172,0.465848417713849,0.309627865436197,-0.602638735757759,0.0505323545541361
"PPR","PPR",-0.115390332796006,0.203808713711026,0.43206413227232,-1.37332419517975,-0.0409199675371679
"PPR","PPR",-0.065979872763725,0.132012964569215,0.25461163572331,-0.801644579136875,-0.0272591125488208
"OPC","OPC",-0.700748802123532,1.36521510139604,-0.201796587686425,0.0873780194739169,0.19931027428607
"OPC","OPC",-0.55307214182047,1.13785535972837,-0.181348562382685,-0.012396253121554,0.145315973760079
"OPC","OPC",-0.326527558436806,0.598643574650089,0.244342137538257,-0.47942818884111,0.0410847973425781
"OPC","OPC",-0.744104528163599,1.51615787459327,-0.182063173614399,0.107945162342887,0.0893807412354563
"PPR","PPR",-0.100892040437952,0.212447346714991,0.342198221479933,-1.09627991375586,-0.088744047959622
"PPR","PPR",-0.0791137496792212,0.122588367772113,0.22587565386505,-0.913856534712927,-0.00862782670575296
"OPC","OPC",-0.459063335402577,0.627771789024454,0.362269281097742,-0.41808466045996,-0.24917649458851
"OPC","OPC",-0.462711616788789,0.808115604438313,0.238021952176205,-0.350336614236529,-0.0662582844125623
"OPC","OPC",-0.316939739221692,0.458317518651464,0.345830824637421,-0.447589252340924,-0.127821985053084
"OPC","OPC",-0.267682077393222,0.47543398561553,0.188802528819469,-0.351539865070934,0.0714604239644741
"PPR","PPR",-0.100567031535023,0.186865211169423,0.354184224295725,-1.15262241695962,-0.0464354303676618
"OPC","OPC",-0.448881330993567,0.797061815688264,0.230682017854857,-0.467404164704132,0.04716590712067
"OPC","OPC",-0.308131047889767,0.390773206709472,0.18138438734258,-0.44876849719844,0.0285902336489653
"PPR","PPR",-0.0806471669874424,0.133488515372342,0.280635587235272,-0.950018997194131,-0.00644057342928749
"OPC","OPC",-0.348575806437456,0.700649443710115,0.114351012397714,-0.410614692515679,0.0624507760927468
"PPR","PPR",-0.0967060459828515,0.188478716232779,0.389960690442178,-1.11342550212908,-0.0296864030991505
"PPR","PPR",-0.0800357847453151,0.148363512388088,0.292528640888823,-0.913420953380501,-0.107237913114339
"OPC","OPC",-0.461207992154706,0.987060805839135,-0.0815446159967292,-0.082469572264898,0.245694893478935
"PPR","PPR",-0.0936344676799265,0.198875440151353,0.384295620522422,-1.11833877595536,-0.0446779392785098
"OPC","OPC",-0.288438237052405,0.554382023602686,0.197224317055783,-0.261241389337954,-0.0140654953778299
"OPC","OPC",-0.266799493324575,0.44653465611788,0.331377354409204,-0.581978008640799,0.0875612756847716
"OPC","OPC",-0.536844545387231,1.2350742624468,-0.258600782284317,0.338146894642907,0.086417626420643
"OPC","OPC",-0.238244701670416,0.393025840302962,0.345981418374285,-0.397917957293697,-0.0141200059776272
"PPR","PPR",-0.0946942914952941,0.174828146454828,0.33229881213577,-1.03405986697476,-0.135134645685146
